resolution_minutes,direction,horizon_minutes,event_count,session_count,mean_signed_nq_return_bps,median_signed_nq_return_bps,block_bootstrap_ci_lower_bps,block_bootstrap_ci_upper_bps
5,all,5,49197,488,0.0425348206034,0,-0.00482351447625,0.0896003134755
5,all,15,48648,488,0.0428191573351,-0.098617384295,-0.0403367185625,0.129613833076
5,all,30,47740,488,0.129798764051,-0.0970906789469,0.0178989143392,0.24426023112
5,all,60,45941,488,0.0704810648216,-0.0985304188041,-0.0916175802714,0.237500001442
5,up,5,24821,488,0.0444160563471,0,-0.0302166750457,0.116063105435
5,up,15,24529,488,0.148785575273,0.107015394165,0.00717241485168,0.297860745348
5,up,30,24065,488,0.386394845276,0.342311400715,0.127424947655,0.633713434313
5,up,60,23181,488,0.577365070562,0.765452574207,0.101201981152,1.05600890229
5,down,5,24376,488,0.040619241657,-0.10952902877,-0.0210626496908,0.103836510852
5,down,15,24119,488,-0.0649485886578,-0.244453950998,-0.22254616427,0.0986932776451
5,down,30,23675,488,-0.131024243115,-0.465062202154,-0.410264308743,0.144635992494
5,down,60,22760,488,-0.445778958776,-0.858650125541,-0.947259097656,0.067598896437
1,all,1,235711,488,0.0217016466903,0,0.0107503940439,0.0331829737597
1,all,2,235431,488,-0.00238432322843,0,-0.0160526147318,0.0124462836189
1,all,3,235164,488,-0.00128420091269,0,-0.0186155159952,0.0160679055795
1,all,4,234878,488,0.00852354349676,0,-0.00980646471371,0.0281315185444
1,all,5,234598,488,0.0138791978112,0,-0.00677708946553,0.0346938237795
1,all,15,231904,488,0.0404282500117,0,0.00417576894618,0.0755707498008
1,all,30,227624,488,0.0717118583239,0,0.0257667051194,0.11931361007
1,all,60,218921,488,0.0451896759619,0,-0.0250460471737,0.118084886013
1,up,1,118510,488,0.0306356750139,0,0.0157080247022,0.0460254592042
1,up,2,118378,488,0.0143638264131,0,-0.00813016611529,0.0377544722158
1,up,3,118250,488,0.0207675606917,0,-0.0089203000765,0.0505042297795
1,up,4,118096,488,0.0361357397714,0,-0.000148146961413,0.0735994483516
1,up,5,117985,488,0.0486469746047,0,0.00493508765564,0.0905719972782
1,up,15,116609,488,0.167668434302,0.170821909623,0.0514555561468,0.283605296909
1,up,30,114442,488,0.322744914713,0.402650109181,0.0896748270845,0.553641617538
1,up,60,110053,488,0.503538226634,0.803079235671,0.0451143591305,0.981241569704
1,down,1,117201,488,0.0126678355741,0,-0.00153851987749,0.0271241303235
1,down,2,117053,488,-0.0193220562064,-0.101016733423,-0.0409602151974,0.00297061200153
1,down,3,116914,488,-0.0235879524713,-0.108694476111,-0.0543909517387,0.00710470145102
1,down,4,116782,488,-0.0193993378655,-0.10815138551,-0.0558912050183,0.0202791940589
1,down,5,116613,488,-0.0212976362038,-0.117141970211,-0.0649931403964,0.0228720895324
1,down,15,115295,488,-0.0882620717712,-0.245052992723,-0.208513761174,0.0354028941471
1,down,30,113182,488,-0.182115826637,-0.424533838763,-0.426973370663,0.0681673588135
1,down,60,108868,488,-0.418147880042,-0.826656119275,-0.914500654056,0.0694342158713
