resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,0,nq_only,1000,nq_direction,0.0859973127872
5,0,nq_only,1000,nq_magnitude,0.0526158333144
5,0,nq_only,1000,nq_aligned_momentum_5m,0.0354188624587
5,0,nq_only,1000,nq_aligned_momentum_15m,-0.0390685772135
5,0,nq_only,1000,nq_aligned_momentum_30m,0.20305541468
5,0,nq_only,1000,nq_aligned_momentum_60m,-0.229504668465
5,0,nq_only,1000,session_sin_1,-0.0462046792887
5,0,nq_only,1000,session_cos_1,0.0389817452777
5,0,nq_only,1000,session_sin_2,0.000242901056949
5,0,nq_only,1000,session_cos_2,-0.0166199412529
5,0,nq_only,1000,weekday_tuesday,0.0812048217558
5,0,nq_only,1000,weekday_wednesday,0.00182240781492
5,0,nq_only,1000,weekday_thursday,0.0160907263837
5,0,nq_only,1000,weekday_friday,-0.00167224841075
5,0,nq_only,1000,intercept,-0.0137771253233
5,0,cross_market,1000,nq_direction,0.0854849385619
5,0,cross_market,1000,nq_magnitude,0.0103135558846
5,0,cross_market,1000,nq_aligned_momentum_5m,0.0231470150642
5,0,cross_market,1000,nq_aligned_momentum_15m,-0.0560636353384
5,0,cross_market,1000,nq_aligned_momentum_30m,0.229341185222
5,0,cross_market,1000,nq_aligned_momentum_60m,-0.260178373478
5,0,cross_market,1000,session_sin_1,-0.0434709891413
5,0,cross_market,1000,session_cos_1,0.0375877613193
5,0,cross_market,1000,session_sin_2,-0.000298574008408
5,0,cross_market,1000,session_cos_2,-0.0157433255173
5,0,cross_market,1000,weekday_tuesday,0.0822656137761
5,0,cross_market,1000,weekday_wednesday,0.0038446941954
5,0,cross_market,1000,weekday_thursday,0.0186017903007
5,0,cross_market,1000,weekday_friday,0.00120217416603
5,0,cross_market,1000,btc_magnitude,-0.0708973112071
5,0,cross_market,1000,btc_aligned_momentum_5m,0.0191532407975
5,0,cross_market,1000,btc_aligned_momentum_15m,0.0911702924728
5,0,cross_market,1000,btc_aligned_momentum_30m,-0.137730040557
5,0,cross_market,1000,btc_aligned_momentum_60m,0.120371463231
5,0,cross_market,1000,coherence_15m,0.060445659927
5,0,cross_market,1000,coherence_30m,-0.0331338974165
5,0,cross_market,1000,coherence_60m,-0.00489505788252
5,0,cross_market,1000,joint_intensity,0.0921402004091
5,0,cross_market,1000,magnitude_balance,0.019398758488
5,0,cross_market,1000,absolute_magnitude_balance,0.0272582779677
5,0,cross_market,1000,intercept,-0.0137771253233
5,1,nq_only,1000,nq_direction,0.0684596922166
5,1,nq_only,1000,nq_magnitude,0.0937966943534
5,1,nq_only,1000,nq_aligned_momentum_5m,-0.0983311750477
