trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
a47837a64884433f,0879361214fdad9f,5,0,nq_only,0.01,3,6334,14.0885183827,"[16.94263594902752, 13.43279008096961, 11.78282099278653]",False
5e05d242dd031479,0879361214fdad9f,5,0,nq_only,0.1,3,6334,14.0885096015,"[16.942619432968712, 13.432784806189455, 11.78281662545894]",False
095132dbc0c46756,0879361214fdad9f,5,0,nq_only,1,3,6334,14.0884218651,"[16.94245443416421, 13.432732097404026, 11.782772976088575]",False
22e7e0f615c8e327,0879361214fdad9f,5,0,nq_only,10,3,6334,14.0875520023,"[16.94082047759173, 13.432208883360783, 11.782338860516422]",False
44fe9ce10aa12bf2,0879361214fdad9f,5,0,nq_only,100,3,6334,14.0795452475,"[16.925949224821284, 13.427338133090243, 11.778223698832766]",False
cd514b5fc6e966b9,0879361214fdad9f,5,0,nq_only,1000,3,6334,14.0369841763,"[16.853108915061352, 13.399519923406322, 11.751862987481246]",True
efedebfeb708bddc,0879361214fdad9f,5,0,cross_market,0.01,3,6334,14.1572091398,"[16.962948226990996, 13.558466532866468, 11.841928374151586]",False
4d320a74aa17c36a,0879361214fdad9f,5,0,cross_market,0.1,3,6334,14.1571914964,"[16.962924235202934, 13.558451195239014, 11.841914960429406]",False
15e19292874e0dc9,0879361214fdad9f,5,0,cross_market,1,3,6334,14.1570152964,"[16.96268460683744, 13.558297972658714, 11.841781083878123]",False
9bebfa4c251c9901,0879361214fdad9f,5,0,cross_market,10,3,6334,14.1552761178,"[16.960316763294678, 13.556780679444854, 11.840467601794236]",False
ad745fa033d32ce8,0879361214fdad9f,5,0,cross_market,100,3,6334,14.1397719392,"[16.9391353936279, 13.542834578131771, 11.829280523991363]",False
39bca6cfa0919bf9,0879361214fdad9f,5,0,cross_market,1000,3,6334,14.0658420928,"[16.84621395567687, 13.467088433321821, 11.777249151387252]",True
ff1211e93da258b6,0879361214fdad9f,5,1,nq_only,0.01,3,6323,18.5822014967,"[13.43279008096961, 11.78282099278653, 30.303346903855044]",False
559223a19a864954,0879361214fdad9f,5,1,nq_only,0.1,3,6323,18.5821965559,"[13.432784806189455, 11.78281662545894, 30.303341753551837]",False
a7023eb839c383b9,0879361214fdad9f,5,1,nq_only,1,3,6323,18.582147177,"[13.432732097404026, 11.782772976088575, 30.303290274925885]",False
f7f083fbe43fdc32,0879361214fdad9f,5,1,nq_only,10,3,6323,18.581656294,"[13.432208883360783, 11.782338860516422, 30.30277791771384]",False
0c57cdfbb0438c92,0879361214fdad9f,5,1,nq_only,100,3,6323,18.5770216624,"[13.427338133090243, 11.778223698832766, 30.297886197574982]",False
c8d8c39530659bb1,0879361214fdad9f,5,1,nq_only,1000,3,6323,18.5478363938,"[13.399519923406322, 11.751862987481246, 30.26461475981889]",True
f424782066311111,0879361214fdad9f,5,1,cross_market,0.01,3,6323,18.6822533335,"[13.558466532866468, 11.841928374151586, 30.416549714503486]",False
416d16b106844304,0879361214fdad9f,5,1,cross_market,0.1,3,6323,18.6822360069,"[13.558451195239014, 11.841914960429406, 30.416526630526594]",False
ae96ab9de51c5713,0879361214fdad9f,5,1,cross_market,1,3,6323,18.6820630141,"[13.558297972658714, 11.841781083878123, 30.41629619984018]",False
f5c12cca4fc8b49f,0879361214fdad9f,5,1,cross_market,10,3,6323,18.6803597835,"[13.556780679444854, 11.840467601794236, 30.414031871650263]",False
f5c1473686f41aa5,0879361214fdad9f,5,1,cross_market,100,3,6323,18.6654694761,"[13.542834578131771, 11.829280523991363, 30.394644329326212]",False
aa1f5667c3a430d8,0879361214fdad9f,5,1,cross_market,1000,3,6323,18.5943471566,"[13.467088433321821, 11.777249151387252, 30.30996294987981]",True
7aa6ff2f157541e9,0879361214fdad9f,5,2,nq_only,0.01,3,6215,22.8682915491,"[11.78282099278653, 30.303346903855044, 26.149471330722886]",False
fca4695b36ecf7c6,0879361214fdad9f,5,2,nq_only,0.1,3,6215,22.8682872041,"[11.78281662545894, 30.303341753551837, 26.149467843517158]",False
d29167b595060044,0879361214fdad9f,5,2,nq_only,1,3,6215,22.8682437743,"[11.782772976088575, 30.303290274925885, 26.149432986796818]",False
86f7fd04324ecedd,0879361214fdad9f,5,2,nq_only,10,3,6215,22.8678115921,"[11.782338860516422, 30.30277791771384, 26.14908594679738]",False
3cf172e4a2efb285,0879361214fdad9f,5,2,nq_only,100,3,6215,22.8636915328,"[11.778223698832766, 30.297886197574982, 26.145762035351748]",False
a161b435d5a9e96b,0879361214fdad9f,5,2,nq_only,1000,3,6215,22.8360791372,"[11.751862987481246, 30.26461475981889, 26.12278197695618]",True
bcd89d42571a554f,0879361214fdad9f,5,2,cross_market,0.01,3,6215,22.9137026814,"[11.841928374151586, 30.416549714503486, 26.11092324783957]",False
095e58aeb9ced7a7,0879361214fdad9f,5,2,cross_market,0.1,3,6215,22.9136899217,"[11.841914960429406, 30.416526630526594, 26.11092185398967]",False
f105e3c275b13264,0879361214fdad9f,5,2,cross_market,1,3,6215,22.9135625467,"[11.841781083878123, 30.41629619984018, 26.110907904831294]",False
9819edde37f52b88,0879361214fdad9f,5,2,cross_market,10,3,6215,22.912310433,"[11.840467601794236, 30.414031871650263, 26.11076739000627]",False
09350d75865561c5,0879361214fdad9f,5,2,cross_market,100,3,6215,22.9015199704,"[11.829280523991363, 30.394644329326212, 26.10929447720393]",False
2d8f28c86a7f56a4,0879361214fdad9f,5,2,cross_market,1000,3,6215,22.851352982,"[11.777249151387252, 30.30996294987981, 26.09680431005948]",True
8f769f310490169e,0879361214fdad9f,5,3,nq_only,0.01,3,6419,30.737356522,"[30.303346903855044, 26.149471330722886, 35.35270221398827]",False
af38e858b104b1d7,0879361214fdad9f,5,3,nq_only,0.1,3,6419,30.7373534273,"[30.303341753551837, 26.149467843517158, 35.352701433449354]",False
0ec97eded1ee4a46,0879361214fdad9f,5,3,nq_only,1,3,6419,30.7373224941,"[30.303290274925885, 26.149432986796818, 35.352693630497726]",False
84fff3aa7fa970bc,0879361214fdad9f,5,3,nq_only,10,3,6419,30.7370145409,"[30.30277791771384, 26.14908594679738, 35.35261584383868]",False
7caefda800315237,0879361214fdad9f,5,3,nq_only,100,3,6419,30.7340668825,"[30.297886197574982, 26.145762035351748, 35.351861397694776]",False
c1d292aa6be4f61d,0879361214fdad9f,5,3,nq_only,1000,3,6419,30.7136556512,"[30.26461475981889, 26.12278197695618, 35.34603169559324]",True
9b94b6c60bff134f,0879361214fdad9f,5,3,cross_market,0.01,3,6419,30.7981755894,"[30.416549714503486, 26.11092324783957, 35.454734785696274]",False
fee664652f504209,0879361214fdad9f,5,3,cross_market,0.1,3,6419,30.7981652078,"[30.416526630526594, 26.11092185398967, 35.454728249256]",False
f6b5582278cbd092,0879361214fdad9f,5,3,cross_market,1,3,6419,30.7980615434,"[30.41629619984018, 26.110907904831294, 35.45466294092551]",False
