resolution_minutes,weekday,event_count,session_count,nq_only_mean_squared_error,cross_market_mean_squared_error,cross_market_minus_nq_only_mse
5,Monday,7507,73,53.5252334916,53.4873022377,-0.0379312539392
5,Tuesday,7481,73,28.7012070779,28.7695170724,0.0683099944038
5,Wednesday,7214,71,36.3828278369,36.3569438961,-0.0258839408718
5,Thursday,6435,64,28.5166302773,28.5529822152,0.0363519378565
5,Friday,7167,71,42.6315602941,42.6461865914,0.014626297334
1,Monday,35908,73,48.039742773,47.9643410356,-0.0754017374221
1,Tuesday,36011,73,29.3839372795,29.3863531847,0.00241590523465
1,Wednesday,34508,71,39.4014117231,39.3703254005,-0.0310863225154
1,Thursday,31610,64,28.5718774245,28.5772490633,0.00537163881954
1,Friday,33575,71,39.5587603152,39.5417285234,-0.0170317918293
