resolution_minutes,model,probability_bin,bin_lower,bin_upper,event_count,mean_predicted_probability,observed_agreement_rate
5,benchmark,1,0,0.1,0,,
5,benchmark,2,0.1,0.2,0,,
5,benchmark,3,0.2,0.3,0,,
5,benchmark,4,0.3,0.4,0,,
5,benchmark,5,0.4,0.5,0,,
5,benchmark,6,0.5,0.6,36230,0.576514144989,0.598288711013
5,benchmark,7,0.6,0.7,0,,
5,benchmark,8,0.7,0.8,0,,
5,benchmark,9,0.8,0.9,0,,
5,benchmark,10,0.9,1,0,,
5,m0,1,0,0.1,0,,
5,m0,2,0.1,0.2,0,,
5,m0,3,0.2,0.3,0,,
5,m0,4,0.3,0.4,0,,
5,m0,5,0.4,0.5,0,,
5,m0,6,0.5,0.6,35011,0.576702823571,0.598497615035
5,m0,7,0.6,0.7,1219,0.603971146685,0.59228876128
5,m0,8,0.7,0.8,0,,
5,m0,9,0.8,0.9,0,,
5,m0,10,0.9,1,0,,
5,m1,1,0,0.1,0,,
5,m1,2,0.1,0.2,0,,
5,m1,3,0.2,0.3,0,,
5,m1,4,0.3,0.4,0,,
5,m1,5,0.4,0.5,0,,
5,m1,6,0.5,0.6,31620,0.572262783749,0.592789373814
5,m1,7,0.6,0.7,4600,0.610722677681,0.636304347826
5,m1,8,0.7,0.8,9,0.717030105011,0.555555555556
5,m1,9,0.8,0.9,0,,
5,m1,10,0.9,1,1,0.958924705599,0
1,benchmark,1,0,0.1,0,,
1,benchmark,2,0.1,0.2,0,,
1,benchmark,3,0.2,0.3,0,,
1,benchmark,4,0.3,0.4,0,,
1,benchmark,5,0.4,0.5,0,,
1,benchmark,6,0.5,0.6,172786,0.549366406614,0.571603023393
1,benchmark,7,0.6,0.7,0,,
1,benchmark,8,0.7,0.8,0,,
1,benchmark,9,0.8,0.9,0,,
1,benchmark,10,0.9,1,0,,
1,m0,1,0,0.1,0,,
1,m0,2,0.1,0.2,0,,
1,m0,3,0.2,0.3,0,,
1,m0,4,0.3,0.4,0,,
1,m0,5,0.4,0.5,1098,0.493208798706,0.546448087432
1,m0,6,0.5,0.6,165856,0.554040244148,0.569632693421
1,m0,7,0.6,0.7,5832,0.609525654661,0.632373113855
1,m0,8,0.7,0.8,0,,
1,m0,9,0.8,0.9,0,,
1,m0,10,0.9,1,0,,
1,m1,1,0,0.1,0,,
1,m1,2,0.1,0.2,0,,
1,m1,3,0.2,0.3,0,,
1,m1,4,0.3,0.4,0,,
1,m1,5,0.4,0.5,1681,0.492692475119,0.538964901844
1,m1,6,0.5,0.6,162016,0.552366324931,0.568141418132
1,m1,7,0.6,0.7,9037,0.616063277308,0.639150160451
1,m1,8,0.7,0.8,46,0.727111785864,0.673913043478
1,m1,9,0.8,0.9,5,0.838651972409,0.6
1,m1,10,0.9,1,1,0.982271282174,1
