resolution_minutes,fold,model,c_value,term,standardized_coefficient
5,0,m0,0.01,coherence_15m,-0.0237290975313
5,0,m0,0.01,coherence_30m,0.0130143915568
5,0,m0,0.01,coherence_60m,0.0356560611208
5,0,m0,0.01,common_direction,-0.00911232283383
5,0,m0,0.01,intercept,0.250095706783
5,0,m1,0.01,coherence_15m,-0.0231578875967
5,0,m1,0.01,coherence_30m,0.0122900870718
5,0,m1,0.01,coherence_60m,0.0337356258279
5,0,m1,0.01,common_direction,-0.00923929252395
5,0,m1,0.01,joint_intensity,-0.000693847289554
5,0,m1,0.01,magnitude_balance,-0.0449118664731
5,0,m1,0.01,absolute_magnitude_balance,-0.00230058804189
5,0,m1,0.01,intercept,0.250275000464
5,1,m0,0.01,coherence_15m,-0.0218347212951
5,1,m0,0.01,coherence_30m,0.00368853752038
5,1,m0,0.01,coherence_60m,0.03142914901
5,1,m0,0.01,common_direction,-0.0215973163698
5,1,m0,0.01,intercept,0.260141258412
5,1,m1,0.01,coherence_15m,-0.0214383164032
5,1,m1,0.01,coherence_30m,0.00392740509382
5,1,m1,0.01,coherence_60m,0.0293068115182
5,1,m1,0.01,common_direction,-0.0216289178372
5,1,m1,0.01,joint_intensity,0.00141093726375
5,1,m1,0.01,magnitude_balance,-0.0415283752072
5,1,m1,0.01,absolute_magnitude_balance,0.00947097561559
5,1,m1,0.01,intercept,0.260576181177
5,2,m0,0.01,coherence_15m,-0.0265212279089
5,2,m0,0.01,coherence_30m,0.0135187468357
5,2,m0,0.01,coherence_60m,0.0240200078075
5,2,m0,0.01,common_direction,-0.0249585450491
5,2,m0,0.01,intercept,0.253805084826
5,2,m1,0.01,coherence_15m,-0.0261436951524
5,2,m1,0.01,coherence_30m,0.0133118301469
5,2,m1,0.01,coherence_60m,0.0223019853414
5,2,m1,0.01,common_direction,-0.0249701046826
5,2,m1,0.01,joint_intensity,0.00829147469735
5,2,m1,0.01,magnitude_balance,-0.0438913956141
5,2,m1,0.01,absolute_magnitude_balance,0.00390962159497
5,2,m1,0.01,intercept,0.25392914826
5,3,m0,0.01,coherence_15m,-0.0188464757706
5,3,m0,0.01,coherence_30m,0.0267728928659
5,3,m0,0.01,coherence_60m,0.0157751627891
5,3,m0,0.01,common_direction,-0.0319343515989
5,3,m0,0.01,intercept,0.267973578716
5,3,m1,0.01,coherence_15m,-0.018392098966
5,3,m1,0.01,coherence_30m,0.0256692512087
5,3,m1,0.01,coherence_60m,0.014341828331
5,3,m1,0.01,common_direction,-0.0316891417068
5,3,m1,0.01,joint_intensity,0.0193065893165
5,3,m1,0.01,magnitude_balance,-0.0404230780718
5,3,m1,0.01,absolute_magnitude_balance,0.0118424890563
5,3,m1,0.01,intercept,0.268461325036
5,4,m0,10,coherence_15m,-0.0194539709816
5,4,m0,10,coherence_30m,0.0224705629069
5,4,m0,10,coherence_60m,0.0381203218533
5,4,m0,10,common_direction,-0.0260188612085
5,4,m0,10,intercept,0.306082391336
5,4,m1,10,coherence_15m,-0.0195130898572
5,4,m1,10,coherence_30m,0.0225333627663
5,4,m1,10,coherence_60m,0.0290564135808
5,4,m1,10,common_direction,-0.0255912796097
5,4,m1,10,joint_intensity,0.055797670356
5,4,m1,10,magnitude_balance,-0.0560759022604
5,4,m1,10,absolute_magnitude_balance,0.0192169724525
5,4,m1,10,intercept,0.306605411919
5,5,m0,0.01,coherence_15m,-0.0149646042887
5,5,m0,0.01,coherence_30m,0.0123842997919
5,5,m0,0.01,coherence_60m,0.0399197909093
5,5,m0,0.01,common_direction,-0.0236467816219
5,5,m0,0.01,intercept,0.31203027743
5,5,m1,10,coherence_15m,-0.0147844882863
5,5,m1,10,coherence_30m,0.0106573975795
5,5,m1,10,coherence_60m,0.0337235233689
5,5,m1,10,common_direction,-0.0237202600832
5,5,m1,10,joint_intensity,0.0514666291038
5,5,m1,10,magnitude_balance,-0.0573797425593
5,5,m1,10,absolute_magnitude_balance,0.0201253365978
5,5,m1,10,intercept,0.312679599058
5,6,m0,0.01,coherence_15m,-0.0090721854721
5,6,m0,0.01,coherence_30m,0.00995950765231
5,6,m0,0.01,coherence_60m,0.0429576630971
5,6,m0,0.01,common_direction,-0.0168993528948
5,6,m0,0.01,intercept,0.31714357432
5,6,m1,10,coherence_15m,-0.00906668792047
5,6,m1,10,coherence_30m,0.00840803586322
5,6,m1,10,coherence_60m,0.0381503337478
5,6,m1,10,common_direction,-0.0168499376418
5,6,m1,10,joint_intensity,0.0452563690125
5,6,m1,10,magnitude_balance,-0.0511110826533
5,6,m1,10,absolute_magnitude_balance,0.0192078508581
5,6,m1,10,intercept,0.317599038139
5,7,m0,0.01,coherence_15m,-0.00600703142797
5,7,m0,0.01,coherence_30m,0.00669344721752
5,7,m0,0.01,coherence_60m,0.0463926826391
5,7,m0,0.01,common_direction,-0.0158688699521
5,7,m0,0.01,intercept,0.319881384338
5,7,m1,0.01,coherence_15m,-0.00525642674616
5,7,m1,0.01,coherence_30m,0.0050245143808
5,7,m1,0.01,coherence_60m,0.0416445016705
5,7,m1,0.01,common_direction,-0.0156722265067
5,7,m1,0.01,joint_intensity,0.0398867672395
5,7,m1,0.01,magnitude_balance,-0.0502087520393
5,7,m1,0.01,absolute_magnitude_balance,0.0180889644321
5,7,m1,0.01,intercept,0.320227504884
5,8,m0,0.01,coherence_15m,-6.7792675667e-05
5,8,m0,0.01,coherence_30m,0.00968471323478
5,8,m0,0.01,coherence_60m,0.0359251473157
5,8,m0,0.01,common_direction,-0.0103381087057
5,8,m0,0.01,intercept,0.317720334188
5,8,m1,0.01,coherence_15m,0.000108902599414
5,8,m1,0.01,coherence_30m,0.00884632777743
5,8,m1,0.01,coherence_60m,0.0309905929453
5,8,m1,0.01,common_direction,-0.0101868103368
5,8,m1,0.01,joint_intensity,0.0401714899029
5,8,m1,0.01,magnitude_balance,-0.0477312608722
5,8,m1,0.01,absolute_magnitude_balance,0.0203976658211
5,8,m1,0.01,intercept,0.318121366124
5,9,m0,0.01,coherence_15m,0.00358092396898
5,9,m0,0.01,coherence_30m,0.00225844300451
5,9,m0,0.01,coherence_60m,0.037661301565
5,9,m0,0.01,common_direction,-0.0116382058537
5,9,m0,0.01,intercept,0.317616388153
5,9,m1,0.01,coherence_15m,0.00360607943325
5,9,m1,0.01,coherence_30m,0.0015234996457
5,9,m1,0.01,coherence_60m,0.0330017938232
5,9,m1,0.01,common_direction,-0.0115379149226
5,9,m1,0.01,joint_intensity,0.0392454083108
5,9,m1,0.01,magnitude_balance,-0.050858016163
5,9,m1,0.01,absolute_magnitude_balance,0.0174911106231
5,9,m1,0.01,intercept,0.318069924129
5,10,m0,0.01,coherence_15m,0.00725578989353
5,10,m0,0.01,coherence_30m,0.00225217138435
5,10,m0,0.01,coherence_60m,0.0340823642417
5,10,m0,0.01,common_direction,-0.012999921513
5,10,m0,0.01,intercept,0.319962815986
5,10,m1,0.01,coherence_15m,0.00714010369401
5,10,m1,0.01,coherence_30m,0.0014429614092
5,10,m1,0.01,coherence_60m,0.0298804333889
5,10,m1,0.01,common_direction,-0.0128573777662
5,10,m1,0.01,joint_intensity,0.040904820108
5,10,m1,0.01,magnitude_balance,-0.0473543548883
5,10,m1,0.01,absolute_magnitude_balance,0.0154415902447
5,10,m1,0.01,intercept,0.320400409972
5,11,m0,10,coherence_15m,0.00791294477595
5,11,m0,10,coherence_30m,-0.00185605930002
5,11,m0,10,coherence_60m,0.0387450105637
5,11,m0,10,common_direction,-0.0140192982272
5,11,m0,10,intercept,0.332929449569
5,11,m1,10,coherence_15m,0.00779813450113
5,11,m1,10,coherence_30m,-0.00281545376518
5,11,m1,10,coherence_60m,0.0338946946996
5,11,m1,10,common_direction,-0.0136848343548
5,11,m1,10,joint_intensity,0.0473790295269
5,11,m1,10,magnitude_balance,-0.0435858372639
5,11,m1,10,absolute_magnitude_balance,0.0242836279597
5,11,m1,10,intercept,0.333185545461
5,12,m0,0.01,coherence_15m,0.000697400331381
5,12,m0,0.01,coherence_30m,-0.000885430841434
5,12,m0,0.01,coherence_60m,0.0366326774485
5,12,m0,0.01,common_direction,-0.015818355191
5,12,m0,0.01,intercept,0.333896913695
5,12,m1,0.01,coherence_15m,0.000294198133089
5,12,m1,0.01,coherence_30m,-0.00138215870396
5,12,m1,0.01,coherence_60m,0.0321603218948
5,12,m1,0.01,common_direction,-0.0154937088152
5,12,m1,0.01,joint_intensity,0.046299717431
5,12,m1,0.01,magnitude_balance,-0.040253773939
5,12,m1,0.01,absolute_magnitude_balance,0.0258719219569
5,12,m1,0.01,intercept,0.334281922909
5,13,m0,0.01,coherence_15m,0.0036705331983
5,13,m0,0.01,coherence_30m,-0.000184692756338
5,13,m0,0.01,coherence_60m,0.0325947830787
5,13,m0,0.01,common_direction,-0.017606048176
5,13,m0,0.01,intercept,0.333370703922
5,13,m1,10,coherence_15m,0.00308332583776
5,13,m1,10,coherence_30m,-0.000824915856241
5,13,m1,10,coherence_60m,0.0285476912754
5,13,m1,10,common_direction,-0.0175734330724
5,13,m1,10,joint_intensity,0.0449789777207
5,13,m1,10,magnitude_balance,-0.0424491521422
5,13,m1,10,absolute_magnitude_balance,0.0244768309157
5,13,m1,10,intercept,0.333746199054
5,14,m0,10,coherence_15m,0.00319609242121
5,14,m0,10,coherence_30m,-0.00258946506382
5,14,m0,10,coherence_60m,0.0387414627846
5,14,m0,10,common_direction,-0.0172528648323
5,14,m0,10,intercept,0.340268687331
5,14,m1,10,coherence_15m,0.00274986945616
5,14,m1,10,coherence_30m,-0.00263987316535
5,14,m1,10,coherence_60m,0.0335528156
5,14,m1,10,common_direction,-0.0168965227965
5,14,m1,10,joint_intensity,0.0469255006119
5,14,m1,10,magnitude_balance,-0.0430869484348
5,14,m1,10,absolute_magnitude_balance,0.0302260185877
5,14,m1,10,intercept,0.340680179442
5,15,m0,10,coherence_15m,0.00175657648958
5,15,m0,10,coherence_30m,-0.00129471559428
5,15,m0,10,coherence_60m,0.0409137155085
5,15,m0,10,common_direction,-0.0150117505729
5,15,m0,10,intercept,0.352732899536
5,15,m1,10,coherence_15m,0.00150458580545
5,15,m1,10,coherence_30m,-0.001688044873
5,15,m1,10,coherence_60m,0.0360830198136
5,15,m1,10,common_direction,-0.0148061873984
5,15,m1,10,joint_intensity,0.0423322597123
5,15,m1,10,magnitude_balance,-0.0448159174001
5,15,m1,10,absolute_magnitude_balance,0.0286444586278
5,15,m1,10,intercept,0.353161996044
1,0,m0,10,coherence_15m,0.000232419224655
1,0,m0,10,coherence_30m,0.0303719361469
1,0,m0,10,coherence_60m,0.0562825139092
1,0,m0,10,common_direction,-0.00978973018293
1,0,m0,10,intercept,0.161158544133
1,0,m1,10,coherence_15m,-0.000136234236419
1,0,m1,10,coherence_30m,0.0296819828366
1,0,m1,10,coherence_60m,0.0534054042102
1,0,m1,10,common_direction,-0.0095009611762
1,0,m1,10,joint_intensity,0.0338780255867
1,0,m1,10,magnitude_balance,-0.0214566796556
1,0,m1,10,absolute_magnitude_balance,0.00389176077828
1,0,m1,10,intercept,0.161290019253
1,1,m0,0.01,coherence_15m,3.81739629879e-05
1,1,m0,0.01,coherence_30m,0.028995098112
1,1,m0,0.01,coherence_60m,0.0480492776626
1,1,m0,0.01,common_direction,-0.0171770035916
1,1,m0,0.01,intercept,0.15949247872
1,1,m1,0.01,coherence_15m,-0.000587032703394
1,1,m1,0.01,coherence_30m,0.0284420337343
1,1,m1,0.01,coherence_60m,0.0458552860592
1,1,m1,0.01,common_direction,-0.0169587082014
1,1,m1,0.01,joint_intensity,0.0306073730442
1,1,m1,0.01,magnitude_balance,-0.0191168616387
1,1,m1,0.01,absolute_magnitude_balance,-0.000333874234755
1,1,m1,0.01,intercept,0.159546544754
1,2,m0,0.01,coherence_15m,0.00047944231324
1,2,m0,0.01,coherence_30m,0.0255451026161
1,2,m0,0.01,coherence_60m,0.0452775507796
1,2,m0,0.01,common_direction,-0.0119121394521
1,2,m0,0.01,intercept,0.15233402497
1,2,m1,0.01,coherence_15m,0.00023563796566
1,2,m1,0.01,coherence_30m,0.024795225827
1,2,m1,0.01,coherence_60m,0.0428893342207
1,2,m1,0.01,common_direction,-0.0116591725659
1,2,m1,0.01,joint_intensity,0.0322322235244
1,2,m1,0.01,magnitude_balance,-0.0186665664152
1,2,m1,0.01,absolute_magnitude_balance,-0.001336940266
1,2,m1,0.01,intercept,0.152410818079
1,3,m0,0.01,coherence_15m,0.00332526785373
1,3,m0,0.01,coherence_30m,0.0233243873902
1,3,m0,0.01,coherence_60m,0.0529796878832
1,3,m0,0.01,common_direction,-0.0148332719784
1,3,m0,0.01,intercept,0.164481837092
1,3,m1,0.01,coherence_15m,0.00265946002888
1,3,m1,0.01,coherence_30m,0.0228068124815
1,3,m1,0.01,coherence_60m,0.0502426933329
1,3,m1,0.01,common_direction,-0.0145030301078
1,3,m1,0.01,joint_intensity,0.0337925321888
1,3,m1,0.01,magnitude_balance,-0.0196008437756
1,3,m1,0.01,absolute_magnitude_balance,0.000582175385414
1,3,m1,0.01,intercept,0.164561288139
1,4,m0,10,coherence_15m,0.00438275474871
1,4,m0,10,coherence_30m,0.017627318979
1,4,m0,10,coherence_60m,0.0941427767685
1,4,m0,10,common_direction,-0.0148284511725
1,4,m0,10,intercept,0.19831715496
1,4,m1,10,coherence_15m,0.00423783268035
1,4,m1,10,coherence_30m,0.0166312794389
1,4,m1,10,coherence_60m,0.0843047505836
1,4,m1,10,common_direction,-0.0142723080551
1,4,m1,10,joint_intensity,0.0510556915829
1,4,m1,10,magnitude_balance,-0.0301927402866
1,4,m1,10,absolute_magnitude_balance,0.00504830474259
1,4,m1,10,intercept,0.198639781377
1,5,m0,10,coherence_15m,0.00612201232363
1,5,m0,10,coherence_30m,0.0140627259794
1,5,m0,10,coherence_60m,0.0905178180097
1,5,m0,10,common_direction,-0.0163210608179
1,5,m0,10,intercept,0.207164004621
1,5,m1,10,coherence_15m,0.00558307327854
1,5,m1,10,coherence_30m,0.0135390240685
1,5,m1,10,coherence_60m,0.0822420169592
1,5,m1,10,common_direction,-0.0158478589438
1,5,m1,10,joint_intensity,0.0454773984822
1,5,m1,10,magnitude_balance,-0.029450118641
1,5,m1,10,absolute_magnitude_balance,0.0056966761051
1,5,m1,10,intercept,0.207410203868
1,6,m0,10,coherence_15m,0.00489413543392
1,6,m0,10,coherence_30m,0.00960814019123
1,6,m0,10,coherence_60m,0.0894744565276
1,6,m0,10,common_direction,-0.0166384660403
1,6,m0,10,intercept,0.207865255198
1,6,m1,10,coherence_15m,0.00307002459196
1,6,m1,10,coherence_30m,0.0102319534026
1,6,m1,10,coherence_60m,0.0823668120751
1,6,m1,10,common_direction,-0.0157964738216
1,6,m1,10,joint_intensity,0.0444906241083
1,6,m1,10,magnitude_balance,-0.0269698836817
1,6,m1,10,absolute_magnitude_balance,0.00156373286681
1,6,m1,10,intercept,0.207912894863
1,7,m0,0.01,coherence_15m,0.00823873253675
1,7,m0,0.01,coherence_30m,0.00546451525859
1,7,m0,0.01,coherence_60m,0.0864928950825
1,7,m0,0.01,common_direction,-0.0162797335703
1,7,m0,0.01,intercept,0.200700303166
1,7,m1,0.01,coherence_15m,0.00698174034984
1,7,m1,0.01,coherence_30m,0.00538553674614
1,7,m1,0.01,coherence_60m,0.079340149382
1,7,m1,0.01,common_direction,-0.0155088933149
1,7,m1,0.01,joint_intensity,0.0451641788275
1,7,m1,0.01,magnitude_balance,-0.0279631429602
1,7,m1,0.01,absolute_magnitude_balance,0.0028761455114
1,7,m1,0.01,intercept,0.200832340299
1,8,m0,0.01,coherence_15m,0.00950706788756
1,8,m0,0.01,coherence_30m,0.00785031885984
1,8,m0,0.01,coherence_60m,0.080131212728
1,8,m0,0.01,common_direction,-0.0169864290603
1,8,m0,0.01,intercept,0.198192676515
