resolution_minutes,weekday,event_count,session_count,m0_brier_score,m1_brier_score,m1_minus_m0_brier
5,Monday,7599,73,0.240087867269,0.239957283528,-0.000130583740781
5,Tuesday,7571,73,0.240827014107,0.240566148279,-0.000260865828348
5,Wednesday,7300,71,0.240036555013,0.239880778008,-0.000155777005086
5,Thursday,6515,64,0.24145312819,0.24114063284,-0.000312495349976
5,Friday,7245,71,0.241335610811,0.240886035667,-0.000449575144594
1,Monday,36159,73,0.244764860797,0.244523466736,-0.000241394061839
1,Tuesday,36254,73,0.244191356162,0.244034864694,-0.00015649146818
1,Wednesday,34742,71,0.245145118478,0.244960006111,-0.000185112367541
1,Thursday,31815,64,0.24409804708,0.243951499356,-0.000146547724751
1,Friday,33816,71,0.244492550474,0.24427029618,-0.000222254293611
