direction,joint_intensity_bin,magnitude_balance_bin,event_count,session_count,mean_signed_nq_return_bps_5m,median_signed_nq_return_bps_5m,mean_raw_nq_return_bps_5m,next_bar_agreement_probability,uncensored_persistence_count,mean_uncensored_persistence_minutes,low_count
all,1,1,1314,370,-0.04763378408,0.116247316,-0.1587070827,0.6591591592,1295,9.637065637,False
all,1,2,445,246,-0.5512814456,-0.5146283098,-0.02574132675,0.600886918,443,8.250564334,False
all,1,3,389,231,-0.5361325082,-0.4582216419,-0.7339386078,0.6692111959,387,9.173126615,False
all,1,4,517,263,-0.2153478951,-0.1944711842,0.3062947364,0.6413662239,517,9.313346228,False
all,1,5,1315,370,-0.2071064004,-0.192945898,-0.02674797092,0.6589030804,1308,9.292813456,False
all,2,1,876,337,-0.004711511912,0,0.3398872084,0.6786516854,868,11.05990783,False
all,2,2,650,286,0.5325621843,0.551794439,-0.05940252771,0.6818181818,645,10.33333333,False
all,2,3,614,289,0.03551689098,0,-0.01050678512,0.656,614,9.283387622,False
all,2,4,793,322,-0.04564802822,-0.1047301366,-0.1365382723,0.6441947566,786,9.529262087,False
all,2,5,1050,355,0.1817090973,0,0.193337743,0.6518448439,1041,8.909702209,False
all,3,1,716,302,-0.3384203282,-0.5989618353,-0.1387716698,0.7028885832,707,10.9688826,False
all,3,2,789,330,-0.7933259349,-0.3452820091,0.1168319488,0.6850690088,785,11.05732484,False
all,3,3,827,347,0.6625128234,0.1202450594,0.8533276314,0.6450839329,818,9.333740831,False
all,3,4,875,353,0.04721314875,0,0.05216075823,0.6674157303,875,9.268571429,False
all,3,5,779,335,0.1342702237,0.1260040951,0.4549438416,0.6338383838,775,9.04516129,False
all,4,1,542,232,0.2695209293,-0.3579200355,0.03248925044,0.7153284672,537,11.97392924,False
all,4,2,985,336,0.600935641,0.3152104818,-0.2201793987,0.7284569138,977,11.66325486,False
all,4,3,990,359,0.07877373465,-0.4903329279,0.3769043152,0.6779324056,986,11.12068966,False
all,4,4,949,339,-0.1087218154,0.09742173382,-0.2591995627,0.6610878661,938,9.754797441,False
all,4,5,534,266,0.7528000433,0.09892437547,-0.5406420699,0.6408839779,531,8.983050847,False
all,5,1,530,176,0.1515352547,-0.1135940573,-1.012984662,0.7448789572,526,13.8878327,False
all,5,2,1126,273,-0.06598382634,-0.1251036133,0.09499182385,0.7382198953,1105,12.61538462,False
all,5,3,1183,310,-0.01183781732,-0.4972526791,0.1626857878,0.6901763224,1162,11.77280551,False
all,5,4,863,282,-0.1665814417,-0.3595074748,-0.341033213,0.6616972477,853,10.90269637,False
all,5,5,304,168,-0.5801336665,0.2599669735,0.1977089065,0.6493506494,301,8.787375415,False
up,1,1,712,306,-0.1904016144,0.1956346259,-0.1904016144,0.6592797784,702,9.57977208,False
up,1,2,237,169,-0.5417196914,-0.8471345678,-0.5417196914,0.5916666667,235,7.936170213,False
up,1,3,182,139,-1.357301275,-0.9274697894,-1.357301275,0.627027027,181,8.397790055,False
up,1,4,234,170,0.1004690534,0.04561315483,0.1004690534,0.5774058577,235,8.361702128,False
up,1,5,664,311,-0.2315651342,-0.0489196104,-0.2315651342,0.6671619614,658,9.133738602,False
up,2,1,453,265,0.3240771635,0.1274494185,0.3240771635,0.6587473002,451,10.74279379,False
up,2,2,340,211,0.4522849658,0.5169167365,0.4522849658,0.6666666667,338,10.41420118,False
up,2,3,331,203,0.02319668429,0,0.02319668429,0.6607669617,333,9.219219219,False
up,2,4,427,246,-0.1691729933,-0.6085130984,-0.1691729933,0.6473317865,423,9.089834515,False
up,2,5,532,283,0.3701120134,0,0.3701120134,0.6554307116,528,8.626893939,False
up,3,1,362,213,-0.4719191582,-0.5702027728,-0.4719191582,0.6720867209,359,10.45961003,False
up,3,2,389,236,-0.686058811,-0.1027743948,-0.686058811,0.6844783715,386,11.33419689,False
up,3,3,443,268,1.414898483,0.9780190232,1.414898483,0.6191536748,443,8.995485327,False
up,3,4,480,279,0.09057517564,0.3810462892,0.09057517564,0.6550308008,481,8.981288981,False
up,3,5,395,245,0.5810098188,0.3796915639,0.5810098188,0.6159600998,392,8.788265306,False
up,4,1,285,175,0.2871745919,-0.1930092065,0.2871745919,0.7202797203,282,11.87943262,False
up,4,2,505,260,0.3713315829,0.1706819598,0.3713315829,0.708984375,502,10.71713147,False
up,4,3,526,296,0.4288224994,0,0.4288224994,0.676635514,523,11.08030593,False
up,4,4,503,270,-0.3470749382,0.120654187,-0.3470749382,0.6463654224,497,9.346076459,False
up,4,5,276,178,0.2052397787,0,0.2052397787,0.6142857143,275,8.636363636,False
up,5,1,240,120,-0.9511837206,-0.8062731263,-0.9511837206,0.7448559671,239,14.93723849,False
up,5,2,529,208,0.03087240567,0.3051152573,0.03087240567,0.7379182156,520,12.68269231,False
up,5,3,568,262,0.1570890397,-0.4913006271,0.1570890397,0.6835664336,555,11.07207207,False
up,5,4,411,215,-0.5329336338,-0.1003597898,-0.5329336338,0.6435406699,409,10.13447433,False
up,5,5,156,111,-0.3726189969,0.4139588976,-0.3726189969,0.5974842767,155,7.612903226,False
down,1,1,602,297,0.1212211913,0.04882645613,-0.1212211913,0.6590163934,593,9.704890388,False
down,1,2,208,155,-0.5621763291,-0.1540325569,0.5621763291,0.6113744076,208,8.605769231,False
down,1,3,207,148,0.1858612868,-0.1165507958,-0.1858612868,0.7067307692,206,9.854368932,False
down,1,4,283,192,-0.476482757,-0.352077551,0.476482757,0.6944444444,282,10.10638298,False
down,1,5,651,300,-0.1821592433,-0.2259606151,0.1821592433,0.6504559271,650,9.453846154,False
down,2,1,423,242,-0.3568185331,0,0.3568185331,0.700234192,417,11.4028777,False
down,2,2,310,205,0.6206081658,0.630161761,-0.6206081658,0.6984126984,307,10.24429967,False
down,2,3,283,194,0.04992674404,0,-0.04992674404,0.6503496503,281,9.359430605,False
down,2,4,366,240,0.0984644311,0.3863659658,-0.0984644311,0.6405405405,363,10.04132231,False
down,2,5,518,275,-0.01178578956,0,0.01178578956,0.6481835564,513,9.200779727,False
down,3,1,354,213,-0.2019045754,-0.6096050006,0.2019045754,0.7346368715,348,11.49425287,False
down,3,2,400,240,-0.8976432128,-0.6455354875,0.8976432128,0.6856435644,399,10.78947368,False
down,3,3,384,247,-0.2054737581,-0.8449424497,0.2054737581,0.6753246753,375,9.733333333,False
down,3,4,395,246,-0.005479947208,-0.5883564265,0.005479947208,0.682382134,394,9.61928934,False
down,3,5,384,240,-0.3252665995,0,0.3252665995,0.652173913,383,9.308093995,False
down,4,1,257,159,0.2499439104,-0.4784437184,-0.2499439104,0.7099236641,255,12.07843137,False
down,4,2,480,256,0.8424982439,0.3997138931,-0.8424982439,0.7489711934,475,12.66315789,False
down,4,3,464,263,-0.3180487874,-1.116367279,0.3180487874,0.6794055202,463,11.1663067,False
down,4,4,446,261,0.1600934778,-0.2183290412,-0.1600934778,0.677852349,441,10.2154195,False
down,4,5,258,175,1.338562187,0.2180229237,-1.338562187,0.6692015209,256,9.35546875,False
down,5,1,290,133,1.064130269,0.5944628421,-1.064130269,0.7448979592,287,13.01393728,False
down,5,2,597,232,-0.1518078577,-0.7984430365,0.1518078577,0.7384868421,585,12.55555556,False
down,5,3,615,242,-0.167854817,-0.4972526791,0.167854817,0.6962843296,607,12.41350906,False
down,5,4,452,229,0.1665396887,-0.8399400365,-0.1665396887,0.6784140969,444,11.61036036,False
down,5,5,148,105,-0.7988653452,0.01513839209,0.7988653452,0.7046979866,146,10.03424658,False
