resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,0,nq_only,1000,nq_direction,-0.0310951094958
5,0,nq_only,1000,nq_magnitude,-0.0811946353865
5,0,nq_only,1000,nq_aligned_momentum_5m,-0.0901413698059
5,0,nq_only,1000,nq_aligned_momentum_15m,0.0999647488524
5,0,nq_only,1000,nq_aligned_momentum_30m,-0.28567659076
5,0,nq_only,1000,nq_aligned_momentum_60m,-0.0302280747608
5,0,nq_only,1000,session_sin_1,-0.188742717371
5,0,nq_only,1000,session_cos_1,-0.0232086786713
5,0,nq_only,1000,session_sin_2,0.0105926557014
5,0,nq_only,1000,session_cos_2,0.103179617671
5,0,nq_only,1000,weekday_tuesday,0.199825614425
5,0,nq_only,1000,weekday_wednesday,0.119397306498
5,0,nq_only,1000,weekday_thursday,0
5,0,nq_only,1000,weekday_friday,-0.304267981001
5,0,nq_only,1000,intercept,-0.477782683663
5,0,cross_market,1000,nq_direction,-0.0272439993937
5,0,cross_market,1000,nq_magnitude,-0.0574615767926
5,0,cross_market,1000,nq_aligned_momentum_5m,-0.0650922686272
5,0,cross_market,1000,nq_aligned_momentum_15m,0.0883598257893
5,0,cross_market,1000,nq_aligned_momentum_30m,-0.281933806869
5,0,cross_market,1000,nq_aligned_momentum_60m,0.00435289419927
5,0,cross_market,1000,session_sin_1,-0.178326776935
5,0,cross_market,1000,session_cos_1,-0.021373823488
5,0,cross_market,1000,session_sin_2,0.0148248745349
5,0,cross_market,1000,session_cos_2,0.102455508811
5,0,cross_market,1000,weekday_tuesday,0.19920707306
5,0,cross_market,1000,weekday_wednesday,0.118584292536
5,0,cross_market,1000,weekday_thursday,0
5,0,cross_market,1000,weekday_friday,-0.306264964462
5,0,cross_market,1000,btc_magnitude,0.0635117926046
5,0,cross_market,1000,btc_aligned_momentum_5m,-0.153404618308
5,0,cross_market,1000,btc_aligned_momentum_15m,0.0350080061978
5,0,cross_market,1000,btc_aligned_momentum_30m,-0.00512809175014
5,0,cross_market,1000,btc_aligned_momentum_60m,-0.0824412828331
5,0,cross_market,1000,coherence_15m,0.00784692655055
5,0,cross_market,1000,coherence_30m,-0.00711531119201
5,0,cross_market,1000,coherence_60m,-0.0259463306718
5,0,cross_market,1000,joint_intensity,0.0258917355987
5,0,cross_market,1000,magnitude_balance,0.0885328066676
5,0,cross_market,1000,absolute_magnitude_balance,-0.0180655653563
5,0,cross_market,1000,intercept,-0.477782683663
5,1,nq_only,1000,nq_direction,-0.0301696988856
5,1,nq_only,1000,nq_magnitude,-0.0248191080911
5,1,nq_only,1000,nq_aligned_momentum_5m,-0.331428280956
5,1,nq_only,1000,nq_aligned_momentum_15m,0.155087872925
5,1,nq_only,1000,nq_aligned_momentum_30m,-0.296794031146
5,1,nq_only,1000,nq_aligned_momentum_60m,0.0978131466714
5,1,nq_only,1000,session_sin_1,-0.107806031415
5,1,nq_only,1000,session_cos_1,-0.0873941563165
5,1,nq_only,1000,session_sin_2,-0.0691786680711
5,1,nq_only,1000,session_cos_2,-0.0472206188904
5,1,nq_only,1000,weekday_tuesday,0.131998671498
5,1,nq_only,1000,weekday_wednesday,0.142005124396
5,1,nq_only,1000,weekday_thursday,0
5,1,nq_only,1000,weekday_friday,-0.283312438142
5,1,nq_only,1000,intercept,-0.440362633621
5,1,cross_market,1000,nq_direction,-0.0232887994555
5,1,cross_market,1000,nq_magnitude,-0.0437020149221
5,1,cross_market,1000,nq_aligned_momentum_5m,-0.350559245101
5,1,cross_market,1000,nq_aligned_momentum_15m,0.130974679192
5,1,cross_market,1000,nq_aligned_momentum_30m,-0.281783667277
5,1,cross_market,1000,nq_aligned_momentum_60m,0.159071537155
5,1,cross_market,1000,session_sin_1,-0.0914366969223
5,1,cross_market,1000,session_cos_1,-0.0846361170716
5,1,cross_market,1000,session_sin_2,-0.064169082263
5,1,cross_market,1000,session_cos_2,-0.0473633985331
5,1,cross_market,1000,weekday_tuesday,0.129653475465
5,1,cross_market,1000,weekday_wednesday,0.14029885369
5,1,cross_market,1000,weekday_thursday,0
5,1,cross_market,1000,weekday_friday,-0.278558839774
5,1,cross_market,1000,btc_magnitude,0.178462424445
5,1,cross_market,1000,btc_aligned_momentum_5m,-0.171469530356
5,1,cross_market,1000,btc_aligned_momentum_15m,0.0571819128196
5,1,cross_market,1000,btc_aligned_momentum_30m,-0.0376120118416
5,1,cross_market,1000,btc_aligned_momentum_60m,-0.11966675071
5,1,cross_market,1000,coherence_15m,0.0787422505171
5,1,cross_market,1000,coherence_30m,0.0142053012182
5,1,cross_market,1000,coherence_60m,-0.00967989962989
5,1,cross_market,1000,joint_intensity,0.0652506098399
5,1,cross_market,1000,magnitude_balance,0.0556657194935
5,1,cross_market,1000,absolute_magnitude_balance,-0.0612850549685
5,1,cross_market,1000,intercept,-0.440362633621
5,2,nq_only,0.01,nq_direction,0.0646058844915
5,2,nq_only,0.01,nq_magnitude,1.61676851424
5,2,nq_only,0.01,nq_aligned_momentum_5m,-2.15103726584
5,2,nq_only,0.01,nq_aligned_momentum_15m,1.3983922797
5,2,nq_only,0.01,nq_aligned_momentum_30m,-1.83077496609
5,2,nq_only,0.01,nq_aligned_momentum_60m,1.47035673233
5,2,nq_only,0.01,session_sin_1,0.00104174934307
