model,mean_squared_error,root_mean_squared_error_bps,mean_absolute_error_bps,resolution_minutes,fold,train_session_start,train_session_end,purge_session,validation_session_start,validation_session_end,train_session_count,validation_session_count,train_event_count,validation_event_count,selected_alpha
benchmark,197.510277055,14.053834959,10.3265251794,5,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,5336,1036,
nq_only,197.938914842,14.0690765454,10.3715834379,5,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,5336,1036,1000
cross_market,197.870379089,14.0666406469,10.3758047231,5,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,5336,1036,1000
benchmark,651.528323589,25.5250528616,15.3439770817,5,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,6365,1057,
nq_only,650.1908787,25.4988407325,15.3332598174,5,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,6365,1057,1000
cross_market,650.659644119,25.508030973,15.3403974109,5,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,6365,1057,1000
benchmark,68.2773704701,8.26301219109,5.94616206103,5,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,7426,915,
nq_only,69.6119938171,8.34338023927,5.95841534866,5,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,7426,915,0.01
cross_market,70.4839179541,8.39547008536,5.98060113317,5,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,7426,915,0.01
benchmark,32.7023123121,5.71859356067,3.99225215626,5,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,8341,864,
nq_only,33.7652051993,5.81078352714,4.06025916801,5,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,8341,864,0.01
cross_market,33.6220105378,5.7984489769,4.05486914352,5,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,8341,864,100
benchmark,37.6450253216,6.13555419841,4.50479703593,5,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,9208,950,
