resolution_minutes,weekday,event_count,session_count,nq_only_mean_squared_error,cross_market_mean_squared_error,cross_market_minus_nq_only_mse
5,Monday,2533,60,137.679115415,137.717882456,0.0387670413906
5,Tuesday,2732,63,109.305428099,109.446325342,0.140897243323
5,Wednesday,2150,51,194.614359343,194.80111589,0.186756546462
5,Thursday,1319,30,109.059722074,109.422929496,0.363207422396
5,Friday,2630,60,123.824154364,124.136879694,0.312725329633
1,Monday,12465,60,133.205371993,133.185262724,-0.0201092695619
1,Tuesday,13458,63,112.555401796,112.66833794,0.112936143762
1,Wednesday,10807,51,220.599127633,220.346512494,-0.252615138156
1,Thursday,6432,30,117.251910043,117.339773091,0.0878630480136
1,Friday,12743,60,123.278084079,123.362126005,0.084041926168
