resolution_minutes,model,probability_bin,bin_lower,bin_upper,event_count,mean_predicted_probability,observed_agreement_rate
5,benchmark,1,0,0.1,0,,
5,benchmark,2,0.1,0.2,0,,
5,benchmark,3,0.2,0.3,0,,
5,benchmark,4,0.3,0.4,0,,
5,benchmark,5,0.4,0.5,0,,
5,benchmark,6,0.5,0.6,0,,
5,benchmark,7,0.6,0.7,13724,0.672677551971,0.68252696007
5,benchmark,8,0.7,0.8,0,,
5,benchmark,9,0.8,0.9,0,,
5,benchmark,10,0.9,1,0,,
5,m0,1,0,0.1,0,,
5,m0,2,0.1,0.2,0,,
5,m0,3,0.2,0.3,0,,
5,m0,4,0.3,0.4,0,,
5,m0,5,0.4,0.5,0,,
5,m0,6,0.5,0.6,36,0.592011269866,0.805555555556
5,m0,7,0.6,0.7,11383,0.667130596474,0.677940788896
5,m0,8,0.7,0.8,2305,0.710566366556,0.703253796095
5,m0,9,0.8,0.9,0,,
5,m0,10,0.9,1,0,,
5,m1,1,0,0.1,0,,
5,m1,2,0.1,0.2,0,,
5,m1,3,0.2,0.3,0,,
5,m1,4,0.3,0.4,0,,
5,m1,5,0.4,0.5,0,,
5,m1,6,0.5,0.6,157,0.590814537819,0.713375796178
5,m1,7,0.6,0.7,10728,0.661459484084,0.671234153617
5,m1,8,0.7,0.8,2797,0.721086403539,0.72148730783
5,m1,9,0.8,0.9,39,0.818879900353,0.846153846154
5,m1,10,0.9,1,3,0.925786794567,1
1,benchmark,1,0,0.1,0,,
1,benchmark,2,0.1,0.2,0,,
1,benchmark,3,0.2,0.3,0,,
1,benchmark,4,0.3,0.4,0,,
1,benchmark,5,0.4,0.5,0,,
1,benchmark,6,0.5,0.6,0,,
1,benchmark,7,0.6,0.7,67483,0.655170488408,0.66673088037
1,benchmark,8,0.7,0.8,0,,
1,benchmark,9,0.8,0.9,0,,
1,benchmark,10,0.9,1,0,,
1,m0,1,0,0.1,0,,
1,m0,2,0.1,0.2,0,,
1,m0,3,0.2,0.3,0,,
1,m0,4,0.3,0.4,0,,
1,m0,5,0.4,0.5,0,,
1,m0,6,0.5,0.6,3400,0.584998555244,0.606764705882
1,m0,7,0.6,0.7,56748,0.655586049954,0.66282512159
1,m0,8,0.7,0.8,7335,0.714350243709,0.724744376278
1,m0,9,0.8,0.9,0,,
1,m0,10,0.9,1,0,,
1,m1,1,0,0.1,0,,
1,m1,2,0.1,0.2,0,,
1,m1,3,0.2,0.3,0,,
1,m1,4,0.3,0.4,0,,
1,m1,5,0.4,0.5,0,,
1,m1,6,0.5,0.6,4722,0.581871243057,0.600804743753
1,m1,7,0.6,0.7,53992,0.655111884148,0.662931545414
1,m1,8,0.7,0.8,8764,0.717228810958,0.725581926061
1,m1,9,0.8,0.9,5,0.818081893596,0.8
1,m1,10,0.9,1,0,,
