resolution_minutes,fold,model,c_value,term,standardized_coefficient
5,0,m0,10,coherence_15m,-0.00113545524542
5,0,m0,10,coherence_30m,-0.101904340277
5,0,m0,10,coherence_60m,0.13384469069
5,0,m0,10,common_direction,-0.0699709748392
5,0,m0,10,intercept,0.640260713243
5,0,m1,10,coherence_15m,-0.000134436057811
5,0,m1,10,coherence_30m,-0.104143589867
5,0,m1,10,coherence_60m,0.12442955472
5,0,m1,10,common_direction,-0.0649799483579
5,0,m1,10,joint_intensity,0.0877141004807
5,0,m1,10,magnitude_balance,-0.0268098694753
5,0,m1,10,absolute_magnitude_balance,0.0479951207512
5,0,m1,10,intercept,0.641572087569
5,1,m0,10,coherence_15m,-0.0018558899687
5,1,m0,10,coherence_30m,-0.0762446784397
5,1,m0,10,coherence_60m,0.128938796922
5,1,m0,10,common_direction,-0.0719657421253
5,1,m0,10,intercept,0.70467214216
5,1,m1,10,coherence_15m,0.000348768265876
5,1,m1,10,coherence_30m,-0.0792407160678
5,1,m1,10,coherence_60m,0.115172026667
5,1,m1,10,common_direction,-0.0674427283477
5,1,m1,10,joint_intensity,0.0991232723834
5,1,m1,10,magnitude_balance,-0.0454784594471
5,1,m1,10,absolute_magnitude_balance,0.0414394281681
5,1,m1,10,intercept,0.706919039613
5,2,m0,10,coherence_15m,-0.0056119864458
5,2,m0,10,coherence_30m,-0.0632956035724
5,2,m0,10,coherence_60m,0.144326617969
5,2,m0,10,common_direction,-0.0736702109317
5,2,m0,10,intercept,0.764843181419
5,2,m1,10,coherence_15m,-0.00336409603341
5,2,m1,10,coherence_30m,-0.0663774450208
5,2,m1,10,coherence_60m,0.122550021804
5,2,m1,10,common_direction,-0.0700053743109
5,2,m1,10,joint_intensity,0.11124046427
5,2,m1,10,magnitude_balance,-0.0693432354071
5,2,m1,10,absolute_magnitude_balance,0.0470920100617
5,2,m1,10,intercept,0.768501507622
5,3,m0,0.01,coherence_15m,-0.00542446671069
5,3,m0,0.01,coherence_30m,-0.0404716333144
5,3,m0,0.01,coherence_60m,0.121190091789
5,3,m0,0.01,common_direction,-0.0726173920368
5,3,m0,0.01,intercept,0.755714835805
5,3,m1,0.01,coherence_15m,-0.00451996505653
5,3,m1,0.01,coherence_30m,-0.0432256239928
5,3,m1,0.01,coherence_60m,0.102765369328
5,3,m1,0.01,common_direction,-0.0693485942627
5,3,m1,0.01,joint_intensity,0.101181637446
5,3,m1,0.01,magnitude_balance,-0.0644321797395
5,3,m1,0.01,absolute_magnitude_balance,0.0296546691481
5,3,m1,0.01,intercept,0.758681209101
5,4,m0,0.01,coherence_15m,-0.00449893108181
5,4,m0,0.01,coherence_30m,-0.0329454111101
5,4,m0,0.01,coherence_60m,0.122694656999
5,4,m0,0.01,common_direction,-0.0732653980571
5,4,m0,0.01,intercept,0.733963509547
5,4,m1,0.01,coherence_15m,-0.00392127947399
5,4,m1,0.01,coherence_30m,-0.0359750250956
5,4,m1,0.01,coherence_60m,0.103168388547
5,4,m1,0.01,common_direction,-0.0703109298242
5,4,m1,0.01,joint_intensity,0.101605492692
5,4,m1,0.01,magnitude_balance,-0.0703415632687
5,4,m1,0.01,absolute_magnitude_balance,0.0170485721713
5,4,m1,0.01,intercept,0.73703252478
5,5,m0,0.01,coherence_15m,0.0188715501505
5,5,m0,0.01,coherence_30m,-0.0535104270446
5,5,m0,0.01,coherence_60m,0.118661855037
5,5,m0,0.01,common_direction,-0.0694401228697
5,5,m0,0.01,intercept,0.730339856104
5,5,m1,0.01,coherence_15m,0.0195732195247
5,5,m1,0.01,coherence_30m,-0.0567067849109
5,5,m1,0.01,coherence_60m,0.100451176107
5,5,m1,0.01,common_direction,-0.0670767228591
5,5,m1,0.01,joint_intensity,0.0943906221536
5,5,m1,0.01,magnitude_balance,-0.0731590017426
5,5,m1,0.01,absolute_magnitude_balance,0.0176210977193
5,5,m1,0.01,intercept,0.733215419592
5,6,m0,0.01,coherence_15m,0.0154381067467
5,6,m0,0.01,coherence_30m,-0.0482505538905
5,6,m0,0.01,coherence_60m,0.108956700461
5,6,m0,0.01,common_direction,-0.0619838867223
5,6,m0,0.01,intercept,0.71660240195
5,6,m1,0.01,coherence_15m,0.0162504168902
5,6,m1,0.01,coherence_30m,-0.0514481353177
5,6,m1,0.01,coherence_60m,0.0904199671425
5,6,m1,0.01,common_direction,-0.0597260487637
5,6,m1,0.01,joint_intensity,0.099501635257
5,6,m1,0.01,magnitude_balance,-0.0721617164124
5,6,m1,0.01,absolute_magnitude_balance,0.0158098435206
5,6,m1,0.01,intercept,0.719529865688
5,7,m0,0.01,coherence_15m,0.0173740943944
5,7,m0,0.01,coherence_30m,-0.0420877374395
5,7,m0,0.01,coherence_60m,0.117281460556
5,7,m0,0.01,common_direction,-0.0569471150096
5,7,m0,0.01,intercept,0.738090697382
5,7,m1,0.01,coherence_15m,0.0185405422857
5,7,m1,0.01,coherence_30m,-0.0461992259522
5,7,m1,0.01,coherence_60m,0.0959111584255
5,7,m1,0.01,common_direction,-0.0545086674655
5,7,m1,0.01,joint_intensity,0.113504019755
5,7,m1,0.01,magnitude_balance,-0.0717701170935
