model,brier_score,log_loss,resolution_minutes,fold,train_session_start,train_session_end,purge_session,validation_session_start,validation_session_end,train_session_count,validation_session_count,train_event_count,validation_event_count,selected_c
benchmark,0.197639256036,0.585715745651,5,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,6439,1260,
m0,0.19686875374,0.583779601,5,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,6439,1260,10
m1,0.195495899343,0.580494058023,5,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,6439,1260,10
benchmark,0.192116389932,0.573848286385,5,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,7688,1270,
m0,0.190460330223,0.569928272804,5,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,7688,1270,10
m1,0.188436671694,0.564742919955,5,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,7688,1270,10
benchmark,0.221896839499,0.635875304812,5,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,8964,1097,
m0,0.22167540057,0.635359130388,5,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,8964,1097,10
m1,0.221999530851,0.636060350424,5,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,8964,1097,10
benchmark,0.237774070836,0.669106783364,5,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,10061,1037,
m0,0.236336418555,0.665940600377,5,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,10061,1037,0.01
m1,0.235062418914,0.663071057508,5,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,10061,1037,0.01
benchmark,0.221686592834,0.635408400738,5,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,11101,1155,
m0,0.222116189967,0.636413559829,5,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,11101,1155,0.01
m1,0.221696210781,0.635515322363,5,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,11101,1155,0.01
benchmark,0.22917394278,0.651036683452,5,5,2024-07-01,2025-09-05,2025-09-08,2025-09-09,2025-10-16,240,22,12255,1096,
m0,0.229671657908,0.652175743177,5,5,2024-07-01,2025-09-05,2025-09-08,2025-09-09,2025-10-16,240,22,12255,1096,0.01
m1,0.228359363735,0.64909539122,5,5,2024-07-01,2025-09-05,2025-09-08,2025-09-09,2025-10-16,240,22,12255,1096,0.01
benchmark,0.204053428289,0.598647277173,5,6,2024-07-01,2025-10-14,2025-10-16,2025-10-17,2025-11-24,262,22,13339,1181,
m0,0.202968854379,0.596060939113,5,6,2024-07-01,2025-10-14,2025-10-16,2025-10-17,2025-11-24,262,22,13339,1181,0.01
m1,0.201597320282,0.592838119283,5,6,2024-07-01,2025-10-14,2025-10-16,2025-10-17,2025-11-24,262,22,13339,1181,0.01
benchmark,0.223622099841,0.639455223524,5,7,2024-07-01,2025-11-21,2025-11-24,2025-11-25,2025-12-31,284,22,14537,1074,
m0,0.223346099618,0.638869200984,5,7,2024-07-01,2025-11-21,2025-11-24,2025-11-25,2025-12-31,284,22,14537,1074,0.01
m1,0.223021081007,0.638186281687,5,7,2024-07-01,2025-11-21,2025-11-24,2025-11-25,2025-12-31,284,22,14537,1074,0.01
benchmark,0.231874418882,0.656681740303,5,8,2024-07-01,2025-12-30,2025-12-31,2026-01-02,2026-02-03,306,22,15605,1095,
m0,0.23154602504,0.656044419266,5,8,2024-07-01,2025-12-30,2025-12-31,2026-01-02,2026-02-03,306,22,15605,1095,0.01
m1,0.23205543859,0.657116845521,5,8,2024-07-01,2025-12-30,2025-12-31,2026-01-02,2026-02-03,306,22,15605,1095,0.01
benchmark,0.222958921332,0.638056229422,5,9,2024-07-01,2026-02-02,2026-02-03,2026-02-04,2026-03-06,328,22,16695,1142,
m0,0.222916886529,0.638009174273,5,9,2024-07-01,2026-02-02,2026-02-03,2026-02-04,2026-03-06,328,22,16695,1142,10
m1,0.222823931025,0.637929278167,5,9,2024-07-01,2026-02-02,2026-02-03,2026-02-04,2026-03-06,328,22,16695,1142,10
benchmark,0.203466741046,0.597412897311,5,10,2024-07-01,2026-03-05,2026-03-06,2026-03-09,2026-04-09,350,22,17838,1209,
m0,0.203222528451,0.596767368759,5,10,2024-07-01,2026-03-05,2026-03-06,2026-03-09,2026-04-09,350,22,17838,1209,0.01
m1,0.202941778731,0.596090926719,5,10,2024-07-01,2026-03-05,2026-03-06,2026-03-09,2026-04-09,350,22,17838,1209,0.01
benchmark,0.230727623157,0.654290510424,5,11,2024-07-01,2026-04-08,2026-04-09,2026-04-10,2026-05-11,372,22,19045,1108,
m0,0.229807249951,0.652234557026,5,11,2024-07-01,2026-04-08,2026-04-09,2026-04-10,2026-05-11,372,22,19045,1108,0.01
m1,0.22931588381,0.651083696128,5,11,2024-07-01,2026-04-08,2026-04-09,2026-04-10,2026-05-11,372,22,19045,1108,0.01
benchmark,0.206597561332,0.604518207232,1,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,31881,6197,
m0,0.203038543269,0.596568065105,1,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,31881,6197,0.01
m1,0.202655390307,0.595687048722,1,0,2024-07-01,2025-02-19,2025-02-21,2025-02-24,2025-04-01,130,22,31881,6197,0.1
benchmark,0.204181323332,0.599276368329,1,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,38029,6178,
m0,0.199114970514,0.587538966492,1,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,38029,6178,10
m1,0.198551141144,0.58618085947,1,1,2024-07-01,2025-03-31,2025-04-01,2025-04-02,2025-05-09,152,22,38029,6178,10
benchmark,0.234812487889,0.662654904803,1,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,44246,5403,
m0,0.234429675346,0.661827641189,1,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,44246,5403,10
m1,0.233888737769,0.660672805121,1,2,2024-07-01,2025-05-07,2025-05-09,2025-05-12,2025-06-20,174,22,44246,5403,10
benchmark,0.237354182915,0.667886112445,1,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,49671,5117,
m0,0.235942892032,0.664816586498,1,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,49671,5117,10
m1,0.235283082917,0.663384565355,1,3,2024-07-01,2025-06-17,2025-06-20,2025-06-23,2025-07-29,196,22,49671,5117,10
benchmark,0.224689258228,0.641636318658,1,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,54786,5612,
m0,0.223923423561,0.639899953951,1,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,54786,5612,10
m1,0.22367621248,0.639393273629,1,4,2024-07-01,2025-07-28,2025-07-29,2025-07-30,2025-09-08,218,22,54786,5612,10
benchmark,0.229027376855,0.650613487195,1,5,2024-07-01,2025-09-05,2025-09-08,2025-09-09,2025-10-16,240,22,60408,5418,
m0,0.227479716545,0.647220353787,1,5,2024-07-01,2025-09-05,2025-09-08,2025-09-09,2025-10-16,240,22,60408,5418,0.01
m1,0.227367708804,0.646981688335,1,5,2024-07-01,2025-09-05,2025-09-08,2025-09-09,2025-10-16,240,22,60408,5418,0.01
benchmark,0.215349335808,0.622322688631,1,6,2024-07-01,2025-10-14,2025-10-16,2025-10-17,2025-11-24,262,22,65769,5835,
m0,0.213322548479,0.617674076235,1,6,2024-07-01,2025-10-14,2025-10-16,2025-10-17,2025-11-24,262,22,65769,5835,10
m1,0.213098071383,0.617149230577,1,6,2024-07-01,2025-10-14,2025-10-16,2025-10-17,2025-11-24,262,22,65769,5835,10
benchmark,0.233524564086,0.659933403632,1,7,2024-07-01,2025-11-21,2025-11-24,2025-11-25,2025-12-31,284,22,71648,5146,
m0,0.23338238924,0.659703081857,1,7,2024-07-01,2025-11-21,2025-11-24,2025-11-25,2025-12-31,284,22,71648,5146,0.01
m1,0.232978021186,0.658805070914,1,7,2024-07-01,2025-11-21,2025-11-24,2025-11-25,2025-12-31,284,22,71648,5146,0.01
benchmark,0.23456063897,0.662064139474,1,8,2024-07-01,2025-12-30,2025-12-31,2026-01-02,2026-02-03,306,22,76805,5338,
m0,0.233617245293,0.66000354879,1,8,2024-07-01,2025-12-30,2025-12-31,2026-01-02,2026-02-03,306,22,76805,5338,0.01
m1,0.233372816576,0.659478225699,1,8,2024-07-01,2025-12-30,2025-12-31,2026-01-02,2026-02-03,306,22,76805,5338,0.01
benchmark,0.220727306129,0.633447658008,1,9,2024-07-01,2026-02-02,2026-02-03,2026-02-04,2026-03-06,328,22,82099,5738,
m0,0.219967964374,0.631742929125,1,9,2024-07-01,2026-02-02,2026-02-03,2026-02-04,2026-03-06,328,22,82099,5738,0.01
m1,0.219872176249,0.631488659578,1,9,2024-07-01,2026-02-02,2026-02-03,2026-02-04,2026-03-06,328,22,82099,5738,0.01
benchmark,0.215001140747,0.621597701484,1,10,2024-07-01,2026-03-05,2026-03-06,2026-03-09,2026-04-09,350,22,87842,5909,
m0,0.214201681488,0.619799775321,1,10,2024-07-01,2026-03-05,2026-03-06,2026-03-09,2026-04-09,350,22,87842,5909,0.01
m1,0.21409212109,0.619497719179,1,10,2024-07-01,2026-03-05,2026-03-06,2026-03-09,2026-04-09,350,22,87842,5909,0.01
benchmark,0.224106423406,0.640428251452,1,11,2024-07-01,2026-04-08,2026-04-09,2026-04-10,2026-05-11,372,22,93768,5592,
m0,0.223555998192,0.639250517875,1,11,2024-07-01,2026-04-08,2026-04-09,2026-04-10,2026-05-11,372,22,93768,5592,0.01
m1,0.223557600865,0.639220937224,1,11,2024-07-01,2026-04-08,2026-04-09,2026-04-10,2026-05-11,372,22,93768,5592,0.01
