trial_id,run_id,resolution_minutes,outer_fold,model,c_value,inner_fold_count,inner_event_count,inner_oof_brier,inner_fold_brier_json,selected
b6e40707398b5f13,fd436f33a3bfef1e,5,0,m0,0.01,3,3231,0.225129530471,"[0.22777121088057162, 0.22188871208941888, 0.22560031216810533]",False
77a62246154c3b2b,fd436f33a3bfef1e,5,0,m0,0.1,3,3231,0.225005651292,"[0.2276936917441978, 0.2217300355673583, 0.22546421579431788]",False
73f4570b09131ef7,fd436f33a3bfef1e,5,0,m0,1,3,3231,0.22498859281,"[0.22768100452717197, 0.22170841463116764, 0.22544719403093774]",False
bf33f3f2f8610095,fd436f33a3bfef1e,5,0,m0,10,3,3231,0.224986974875,"[0.2276801554342058, 0.22170613133375822, 0.22544545537120614]",True
770ebb47888fde4f,fd436f33a3bfef1e,5,0,m1,0.01,3,3231,0.224894143573,"[0.22806863965976784, 0.2215888059646602, 0.22491338543346379]",False
477414058dab0c38,fd436f33a3bfef1e,5,0,m1,0.1,3,3231,0.224764069014,"[0.22802632420028274, 0.22141094142008882, 0.22474341161601516]",False
9bb3567c1f2e7a94,fd436f33a3bfef1e,5,0,m1,1,3,3231,0.224748441408,"[0.22802266818490122, 0.2213883287213741, 0.22472277332141688]",False
d1cc9f750fbb6bde,fd436f33a3bfef1e,5,0,m1,10,3,3231,0.224746851292,"[0.22802232951960216, 0.22138599581773247, 0.2247206711018484]",True
572339c679129e22,fd436f33a3bfef1e,5,1,m0,0.01,3,3406,0.214452425876,"[0.22188871208941888, 0.22560031216810533, 0.19828481190560202]",False
db1c33b84733de07,fd436f33a3bfef1e,5,1,m0,0.1,3,3406,0.214385443643,"[0.2217300355673583, 0.22546421579431788, 0.1983559540877808]",False
4059dbb4dfd18168,fd436f33a3bfef1e,5,1,m0,1,3,3406,0.214377071781,"[0.22170841463116764, 0.22544719403093774, 0.19836634265620529]",False
84a0644df5461969,fd436f33a3bfef1e,5,1,m0,10,3,3406,0.214376203826,"[0.22170613133375822, 0.22544545537120614, 0.19836743102140703]",True
92c97f8e1aab8a5f,fd436f33a3bfef1e,5,1,m1,0.01,3,3406,0.213692484634,"[0.2215888059646602, 0.22491338543346379, 0.1970771367258683]",False
003a1d593c05e090,fd436f33a3bfef1e,5,1,m1,0.1,3,3406,0.21360286539,"[0.22141094142008882, 0.22474341161601516, 0.19713284605637063]",False
1e1f4689d240e549,fd436f33a3bfef1e,5,1,m1,1,3,3406,0.213592929668,"[0.2213883287213741, 0.22472277332141688, 0.1971430343404943]",False
f3b1fef1f1293098,fd436f33a3bfef1e,5,1,m1,10,3,3406,0.213591919606,"[0.22138599581773247, 0.2247206711018484, 0.19714410212697614]",True
740ff5c38d3fb684,fd436f33a3bfef1e,5,2,m0,0.01,3,3644,0.203534911025,"[0.22560031216810533, 0.19828481190560202, 0.18932346111895776]",False
d0050f7af41e483a,fd436f33a3bfef1e,5,2,m0,0.1,3,3644,0.203503338873,"[0.22546421579431788, 0.1983559540877808, 0.1892830115381455]",False
36984e3f51d404ff,fd436f33a3bfef1e,5,2,m0,1,3,3644,0.203500455057,"[0.22544719403093774, 0.19836634265620529, 0.18927953458506547]",False
8e7f9d499cf833de,fd436f33a3bfef1e,5,2,m0,10,3,3644,0.203500175921,"[0.22544545537120614, 0.19836743102140703, 0.18927919682667735]",True
87577a011c97caf4,fd436f33a3bfef1e,5,2,m1,0.01,3,3644,0.202233873452,"[0.22491338543346379, 0.1970771367258683, 0.18739248651038495]",False
c5a5fd2bb783d36f,fd436f33a3bfef1e,5,2,m1,0.1,3,3644,0.202178823903,"[0.22474341161601516, 0.19713284605637063, 0.1873298056274961]",False
6ea9d520a9cd0e09,fd436f33a3bfef1e,5,2,m1,1,3,3644,0.202174432082,"[0.22472277332141688, 0.1971430343404943, 0.18732538970792328]",False
33aef5850c8f276b,fd436f33a3bfef1e,5,2,m1,10,3,3644,0.202173991134,"[0.2247206711018484, 0.19714410212697614, 0.18732492881983226]",True
b3a6558aed7d8ce0,fd436f33a3bfef1e,5,3,m0,0.01,3,3622,0.20249683211,"[0.19828481190560202, 0.18932346111895776, 0.22261536868350762]",True
5dfe5e745bbd00f7,fd436f33a3bfef1e,5,3,m0,0.1,3,3622,0.202524118202,"[0.1983559540877808, 0.1892830115381455, 0.22267151025516282]",False
2acd36b246f3df59,fd436f33a3bfef1e,5,3,m0,1,3,3622,0.202528779811,"[0.19836634265620529, 0.18927953458506547, 0.22267911792990389]",False
325256b7f74fc3cf,fd436f33a3bfef1e,5,3,m0,10,3,3622,0.202529273891,"[0.19836743102140703, 0.18927919682667735, 0.22267990295161216]",False
562b5f91eb05b3c8,fd436f33a3bfef1e,5,3,m1,0.01,3,3622,0.201409472043,"[0.1970771367258683, 0.18739248651038495, 0.22264626361264486]",True
bc5dfab28427f43d,fd436f33a3bfef1e,5,3,m1,0.1,3,3622,0.20143239324,"[0.19713284605637063, 0.1873298056274961, 0.22273142352831155]",False
d1045e5ce9b99b80,fd436f33a3bfef1e,5,3,m1,1,3,3622,0.201437580497,"[0.1971430343404943, 0.18732538970792328, 0.222742086966608]",False
903e6ca501ee5346,fd436f33a3bfef1e,5,3,m1,10,3,3622,0.201438117405,"[0.19714410212697614, 0.18732492881983226, 0.22274318004723015]",False
9a29aac5093b46c7,fd436f33a3bfef1e,5,4,m0,0.01,3,3413,0.213846339917,"[0.18932346111895776, 0.22261536868350762, 0.234684386830735]",True
c476ab8cbdb9b1e2,fd436f33a3bfef1e,5,4,m0,0.1,3,3413,0.213849937489,"[0.1892830115381455, 0.22267151025516282, 0.23468660305437453]",False
db6356666a52b341,fd436f33a3bfef1e,5,4,m0,1,3,3413,0.213851394159,"[0.18927953458506547, 0.22267911792990389, 0.23468762477517568]",False
761f8b4cc69866c4,fd436f33a3bfef1e,5,4,m0,10,3,3413,0.213851554257,"[0.18927919682667735, 0.22267990295161216, 0.23468773652835154]",False
ffd42091542f8c7a,fd436f33a3bfef1e,5,4,m1,0.01,3,3413,0.212799581212,"[0.18739248651038495, 0.22264626361264486, 0.23358577567904137]",True
f9933af733ea5019,fd436f33a3bfef1e,5,4,m1,0.1,3,3413,0.212801666546,"[0.1873298056274961, 0.22273142352831155, 0.23357969647270824]",False
4a1084a6c1f483e6,fd436f33a3bfef1e,5,4,m1,1,3,3413,0.212803518922,"[0.18732538970792328, 0.222742086966608, 0.2335799455880044]",False
56e216d891cd40b4,fd436f33a3bfef1e,5,4,m1,10,3,3413,0.212803709642,"[0.18732492881983226, 0.22274318004723015, 0.23357998396471413]",False
d574f7ed3c01dcd5,fd436f33a3bfef1e,5,5,m0,0.01,3,3291,0.226341927298,"[0.22261536868350762, 0.234684386830735, 0.22236608404632052]",True
7a187e565425af6e,fd436f33a3bfef1e,5,5,m0,0.1,3,3291,0.226362408267,"[0.22267151025516282, 0.23468660305437453, 0.2223691262407665]",False
3de0baad915edf57,fd436f33a3bfef1e,5,5,m0,1,3,3291,0.226365213283,"[0.22267911792990389, 0.23468762477517568, 0.22236897294411717]",False
8664fb4f6e9a4778,fd436f33a3bfef1e,5,5,m0,10,3,3291,0.226365512014,"[0.22267990295161216, 0.23468773652835154, 0.22236897791268953]",False
6d6522342f38ae8c,fd436f33a3bfef1e,5,5,m1,0.01,3,3291,0.225886249114,"[0.22264626361264486, 0.23358577567904137, 0.22202728591299456]",True
31866489add1e8cb,fd436f33a3bfef1e,5,5,m1,0.1,3,3291,0.225910095094,"[0.22273142352831155, 0.23357969647270824, 0.22201981543620108]",False
7fae77917aeac254,fd436f33a3bfef1e,5,5,m1,1,3,3291,0.22591329559,"[0.222742086966608, 0.2335799455880044, 0.2220185814329686]",False
08208ac636aa1f12,fd436f33a3bfef1e,5,5,m1,10,3,3291,0.225913627287,"[0.22274318004723015, 0.23357998396471413, 0.22201845369715986]",False
947316fdc08c1a52,fd436f33a3bfef1e,5,6,m0,0.01,3,3278,0.229783737748,"[0.234684386830735, 0.22236608404632052, 0.2329786614787665]",True
