resolution_minutes,weekday,event_count,session_count,m0_brier_score,m1_brier_score,m1_minus_m0_brier
5,Monday,3088,60,0.22045597489,0.219609152483,-0.000846822406702
5,Tuesday,3291,63,0.216343919791,0.215594134066,-0.000749785724416
5,Wednesday,2597,51,0.222380966333,0.222364358361,-1.66079723417e-05
5,Thursday,1584,30,0.211614920454,0.210778160157,-0.000836760296585
5,Friday,3164,60,0.211441672463,0.210449659969,-0.000992012493744
1,Monday,15042,60,0.226624227578,0.226319570573,-0.000304657005006
1,Tuesday,16228,63,0.220690420529,0.220363700399,-0.000326720130262
1,Wednesday,13023,51,0.221024604171,0.220608769025,-0.000415835145572
1,Thursday,7767,30,0.216932758286,0.216635414799,-0.000297343487727
1,Friday,15423,60,0.218418831681,0.218261609078,-0.000157222602647
